PS C:\Users\User\PycharmProjects\Django_rest_framework> coverage report
Name                                                                                    Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------
config\__init__.py                                                                          0      0   100%
config\asgi.py                                                                              4      4     0%
config\settings.py                                                                         28      0   100%
config\urls.py                                                                              3      0   100%
config\wsgi.py                                                                              4      4     0%
manage.py                                                                                  11      2    82%
materials\__init__.py                                                                       0      0   100%
materials\admin.py                                                                         12      0   100%
materials\apps.py                                                                           4      0   100%
materials\migrations\0001_initial.py                                                        6      0   100%
materials\migrations\0002_course_owner_lesson_owner.py                                      6      0   100%
materials\migrations\0003_course_link_to_video_alter_lesson_link_to_video.py                4      0   100%
materials\migrations\__init__.py                                                            0      0   100%
materials\models.py                                                                        27      2    93%
materials\pagination.py                                                                     5      0   100%
materials\serializers.py                                                                   19      0   100%
materials\tests.py                                                                         89      0   100%
materials\urls.py                                                                          10      0   100%
materials\validators.py                                                                     5      1    80%
materials\views.py                                                                         38      0   100%
users\__init__.py                                                                           0      0   100%
users\admin.py                                                                             10      0   100%
users\apps.py                                                                               4      0   100%
users\management\__init__.py                                                                0      0   100%
users\management\commands\__init__.py                                                       0      0   100%
users\management\commands\csu.py                                                           10     10     0%
users\migrations\0001_initial.py                                                            8      0   100%
users\migrations\0002_payment.py                                                            6      0   100%
users\migrations\0003_alter_payment_paid_course_alter_payment_paid_lesson_and_more.py       5      0   100%
users\migrations\0004_subscribe.py                                                          6      0   100%
users\migrations\__init__.py                                                                0      0   100%
users\models.py                                                                            34      1    97%
users\permissions.py                                                                        9      3    67%
users\serializers.py                                                                       20      3    85%
users\tests.py                                                                              1      0   100%
users\urls.py                                                                               8      0   100%
users\views.py                                                                             54      6    89%
-----------------------------------------------------------------------------------------------------------
TOTAL                                                                                     450     36    92%
